tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
322,2013-06-30 21:46:26,2013-06-30 21:51:48,271,Ashland Pl & Hanson Pl,40.68522671947255,-73.97800147533417,241.0,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,20309,Subscriber,1970.0,1
1254,2013-06-30 21:46:33,2013-06-30 22:07:27,368,Carmine St & 6 Ave,40.73038599,-74.00214988,387.0,Centre St & Chambers St,40.71273266,-74.0046073,16677,Customer,,0
176,2013-06-30 21:46:34,2013-06-30 21:49:30,515,W 43 St & 10 Ave,40.76009437,-73.99461843,515.0,W 43 St & 10 Ave,40.76009437,-73.99461843,15022,Customer,,0
447,2013-06-30 21:46:38,2013-06-30 21:54:05,524,W 43 St & 6 Ave,40.75527307,-73.98316936,475.0,E 15 St & Irving Pl,40.73524276,-73.98758561,15535,Customer,,0
311,2013-06-30 21:46:32,2013-06-30 21:51:43,319,Fulton St & Broadway,40.711066,-74.009447,319.0,Fulton St & Broadway,40.711066,-74.009447,18300,Customer,,0
365,2013-06-30 21:46:40,2013-06-30 21:52:45,411,E 6 St & Avenue D,40.72228087,-73.97668709,445.0,E 10 St & Avenue A,40.72740794,-73.98142006,16985,Subscriber,1989.0,2
652,2013-06-30 21:46:53,2013-06-30 21:57:45,212,W 16 St & The High Line,40.74334935,-74.00681753,284.0,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,17896,Customer,,0
3090,2013-06-30 21:46:58,2013-06-30 22:38:28,514,12 Ave & W 40 St,40.76087502,-74.00277668,532.0,S 5 Pl & S 5 St,40.710451,-73.960876,18823,Customer,,0
496,2013-06-30 21:46:38,2013-06-30 21:54:54,440,E 45 St & 3 Ave,40.75255434,-73.97282625,454.0,E 51 St & 1 Ave,40.75455731,-73.96592976,15725,Subscriber,1965.0,2
1814,2013-06-30 21:47:06,2013-06-30 22:17:20,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,15273,Customer,,0
924,2013-06-30 21:47:08,2013-06-30 22:02:32,335,Washington Pl & Broadway,40.72903917,-73.99404649,,,,,15560,Subscriber,1981.0,1
966,2013-06-30 21:47:16,2013-06-30 22:03:22,459,W 20 St & 11 Ave,40.746745,-74.007756,514.0,12 Ave & W 40 St,40.76087502,-74.00277668,18812,Customer,,0
1790,2013-06-30 21:47:13,2013-06-30 22:17:03,398,Atlantic Ave & Furman St,40.69165183,-73.9999786,416.0,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,15346,Customer,,0
360,2013-06-30 21:47:29,2013-06-30 21:53:29,507,E 25 St & 2 Ave,40.73912601,-73.97973776,504.0,1 Ave & E 16 St,40.73221853,-73.98165557,17363,Subscriber,1966.0,2
844,2013-06-30 21:47:31,2013-06-30 22:01:35,457,Broadway & W 58 St,40.76695317,-73.98169333,448.0,W 37 St & 10 Ave,40.75660359,-73.9979009,19039,Customer,,0
1158,2013-06-30 21:47:35,2013-06-30 22:06:53,521,8 Ave & W 31 St N,40.75096734871598,-73.99444207549095,518.0,E 39 St & 2 Ave,40.74780373,-73.9734419,19066,Customer,,0
185,2013-06-30 21:47:35,2013-06-30 21:50:40,361,Allen St & Hester St,40.71605866,-73.99190759,331.0,Pike St & Monroe St,40.71173107,-73.99193043,16526,Customer,,0
448,2013-06-30 21:47:54,2013-06-30 21:55:22,360,William St & Pine St,40.70717936,-74.00887308,408.0,Market St & Cherry St,40.71076228,-73.99400398,18091,Subscriber,1990.0,1
1620,2013-06-30 21:47:45,2013-06-30 22:14:45,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,473.0,Rivington St & Chrystie St,40.72110063,-73.9919254,17947,Subscriber,1978.0,1
